,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,Bachelors,2017,Bangalore,3,34,Male,No,0,0
2,Bachelors,2014,New Delhi,3,38,Female,No,2,0
5,Bachelors,2016,Bangalore,3,22,Male,No,0,0
6,Bachelors,2015,New Delhi,3,38,Male,No,0,0
8,Bachelors,2016,Pune,3,23,Male,No,1,0
9,Masters,2017,New Delhi,2,37,Male,No,2,0
11,Bachelors,2016,Pune,3,34,Male,No,3,0
13,Bachelors,2016,Bangalore,3,39,Male,No,2,0
14,Bachelors,2012,Bangalore,3,37,Male,No,4,0
15,Bachelors,2017,Bangalore,1,29,Male,No,3,0
16,Bachelors,2014,Bangalore,3,34,Female,No,2,0
17,Bachelors,2014,Pune,3,34,Male,No,4,0
20,Bachelors,2012,Bangalore,3,37,Male,No,0,0
21,Masters,2017,New Delhi,2,28,Male,No,4,0
22,Bachelors,2017,New Delhi,2,36,Male,No,3,0
23,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
24,Bachelors,2017,Bangalore,3,29,Male,No,4,0
25,Bachelors,2013,Bangalore,3,22,Female,Yes,0,0
26,Bachelors,2016,Bangalore,3,37,Male,No,2,0
27,Bachelors,2015,Bangalore,3,23,Male,No,1,0
29,Masters,2017,New Delhi,2,30,Female,No,2,0
30,PHD,2013,New Delhi,3,25,Male,No,3,0
31,Bachelors,2014,Bangalore,3,23,Male,No,1,0
33,Bachelors,2016,Bangalore,3,40,Male,No,5,0
35,Bachelors,2014,Bangalore,1,30,Female,No,3,0
36,Bachelors,2012,New Delhi,3,29,Male,No,3,0
39,Bachelors,2014,Pune,3,30,Male,Yes,4,0
40,Bachelors,2015,Bangalore,3,36,Male,No,1,0
41,Masters,2017,New Delhi,2,23,Male,No,1,0
43,Bachelors,2014,Bangalore,3,36,Male,No,0,0
44,Bachelors,2015,Pune,3,39,Male,No,4,0
45,Bachelors,2014,Bangalore,3,23,Female,No,1,0
46,PHD,2012,New Delhi,3,27,Male,No,5,0
47,Masters,2013,New Delhi,3,35,Male,No,2,0
48,Masters,2017,New Delhi,2,34,Male,No,0,0
49,Bachelors,2013,Bangalore,3,30,Female,No,1,0
50,PHD,2017,New Delhi,3,34,Male,No,2,0
52,Bachelors,2016,Bangalore,3,34,Female,No,0,0
53,Bachelors,2014,Bangalore,3,31,Female,Yes,5,0
54,Bachelors,2017,New Delhi,3,31,Female,Yes,5,0
55,PHD,2013,New Delhi,3,28,Male,No,2,0
56,Bachelors,2016,Bangalore,3,38,Male,No,2,0
57,Masters,2014,Pune,3,39,Female,No,2,0
58,Bachelors,2013,Pune,3,32,Male,No,4,0
60,Masters,2013,New Delhi,3,29,Male,No,3,0
61,Bachelors,2015,Bangalore,3,30,Male,No,5,0
64,Bachelors,2016,Bangalore,3,34,Male,No,4,0
66,PHD,2013,Bangalore,3,26,Male,No,4,0
67,Bachelors,2014,New Delhi,3,28,Male,No,0,0
68,Bachelors,2015,Bangalore,3,24,Female,No,2,0
71,Masters,2017,Bangalore,3,31,Male,No,4,0
72,Bachelors,2014,Pune,3,25,Female,No,3,0
73,Bachelors,2014,Bangalore,1,27,Male,No,5,0
76,Bachelors,2014,Bangalore,1,23,Female,No,1,0
77,Bachelors,2017,Bangalore,3,23,Female,No,1,0
78,Bachelors,2012,Bangalore,3,39,Male,No,1,0
79,PHD,2015,New Delhi,1,37,Male,No,1,0
80,Bachelors,2017,Pune,3,38,Male,No,2,0
82,Bachelors,2016,Bangalore,3,38,Male,No,5,0
83,Bachelors,2017,Bangalore,3,25,Female,No,3,0
87,Masters,2015,Pune,2,32,Female,No,4,0
88,Bachelors,2014,Bangalore,3,28,Male,No,4,0
89,Masters,2012,New Delhi,3,32,Male,No,2,0
91,Bachelors,2015,New Delhi,3,22,Male,No,0,0
92,Bachelors,2017,New Delhi,2,34,Female,No,5,0
93,Masters,2013,New Delhi,3,36,Male,No,2,0
96,Bachelors,2016,Bangalore,3,31,Female,No,0,0
98,Bachelors,2014,Bangalore,3,29,Female,No,0,0
101,Bachelors,2013,Pune,3,25,Male,No,3,0
104,Bachelors,2017,New Delhi,3,28,Male,No,2,0
106,Masters,2015,New Delhi,3,25,Male,No,3,0
107,Bachelors,2017,Bangalore,3,28,Male,No,1,0
108,Masters,2013,Pune,3,25,Male,No,3,0
110,Bachelors,2015,Bangalore,3,27,Female,No,5,0
113,Bachelors,2012,Bangalore,3,25,Male,No,3,0
114,Masters,2017,New Delhi,2,28,Male,No,2,0
116,Bachelors,2015,Bangalore,3,28,Male,No,2,0
117,Masters,2013,New Delhi,3,26,Male,No,4,0
118,Bachelors,2017,Bangalore,3,26,Female,No,4,0
119,Bachelors,2017,New Delhi,2,25,Male,No,3,0
120,Bachelors,2012,Bangalore,1,28,Female,No,3,0
121,PHD,2015,New Delhi,3,26,Male,No,4,0
122,Bachelors,2015,New Delhi,3,25,Female,No,3,0
124,Bachelors,2014,Bangalore,3,28,Female,No,3,0
125,Masters,2014,Pune,3,24,Male,No,2,0
126,Bachelors,2013,Bangalore,3,28,Male,No,1,0
127,Bachelors,2015,Pune,3,27,Male,No,5,0
130,Bachelors,2017,Bangalore,3,26,Female,No,4,0
132,Masters,2016,New Delhi,3,27,Male,No,5,0
133,Masters,2017,Bangalore,3,26,Male,No,4,0
134,Masters,2017,New Delhi,2,24,Male,No,2,0
137,Bachelors,2012,Pune,3,28,Male,No,2,0
138,Bachelors,2017,New Delhi,3,28,Male,No,2,0
139,Bachelors,2013,Bangalore,3,26,Male,No,4,0
142,Bachelors,2017,New Delhi,3,28,Female,No,2,0
143,Bachelors,2016,Bangalore,3,26,Male,No,4,0
144,Bachelors,2013,Bangalore,3,27,Female,No,5,0
145,Masters,2015,Pune,2,28,Female,No,3,0
146,Bachelors,2014,Bangalore,3,25,Male,No,3,0
147,Bachelors,2016,Pune,3,28,Male,No,1,0
149,Bachelors,2015,Pune,3,26,Male,No,4,0
153,Bachelors,2014,Bangalore,3,26,Male,No,4,0
155,Masters,2012,New Delhi,3,26,Female,No,4,0
156,Bachelors,2013,Bangalore,3,28,Female,No,3,0
159,Bachelors,2016,Bangalore,3,28,Male,No,3,0
160,Bachelors,2014,Bangalore,3,28,Female,No,3,0
161,Bachelors,2013,Bangalore,3,26,Female,No,4,0
164,Bachelors,2015,Bangalore,3,25,Male,No,3,0
165,Bachelors,2014,Bangalore,3,27,Male,No,5,0
166,Bachelors,2012,Bangalore,3,24,Male,No,2,0
167,Bachelors,2014,Bangalore,3,25,Male,No,3,0
168,Bachelors,2015,Bangalore,3,28,Male,No,3,0
170,Bachelors,2014,New Delhi,3,28,Female,No,1,0
171,Bachelors,2015,Pune,3,25,Male,No,3,0
172,Masters,2015,Pune,2,28,Female,No,2,0
173,Bachelors,2014,Bangalore,3,27,Female,No,5,0
174,Bachelors,2013,Bangalore,3,26,Male,No,4,0
175,Bachelors,2016,Bangalore,3,26,Male,No,4,0
176,Bachelors,2012,Bangalore,3,25,Male,No,3,0
177,Bachelors,2015,Bangalore,3,25,Male,No,3,0
178,Bachelors,2014,New Delhi,3,24,Female,No,2,0
181,Bachelors,2015,Pune,3,27,Male,No,5,0
187,PHD,2015,New Delhi,3,28,Female,No,1,0
188,Bachelors,2017,New Delhi,2,26,Male,No,4,0
189,Bachelors,2013,Bangalore,2,27,Male,No,5,0
190,Bachelors,2015,Bangalore,3,26,Male,No,4,0
191,Bachelors,2015,Bangalore,3,26,Male,No,4,0
192,Bachelors,2013,Bangalore,3,28,Male,No,1,0
193,Bachelors,2015,Bangalore,3,27,Female,No,5,0
194,Bachelors,2013,New Delhi,3,25,Female,No,3,0
195,Bachelors,2013,Pune,3,28,Male,No,1,0
196,Bachelors,2017,Pune,3,24,Male,No,2,0
197,Bachelors,2013,New Delhi,3,27,Female,No,5,0
198,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0
199,Bachelors,2015,Pune,3,28,Male,No,3,0
201,Bachelors,2014,Bangalore,3,25,Male,No,3,0
202,Bachelors,2017,Bangalore,3,27,Male,No,5,0
204,PHD,2013,New Delhi,3,24,Male,No,2,0
206,Bachelors,2017,Bangalore,3,25,Male,No,3,0
208,Masters,2017,Bangalore,3,28,Male,No,2,0
210,Bachelors,2017,Bangalore,3,27,Male,No,5,0
211,Masters,2017,Pune,2,27,Female,No,5,0
215,Bachelors,2014,New Delhi,3,25,Female,No,3,0
221,Bachelors,2013,Pune,2,26,Male,No,4,0
223,Bachelors,2013,Bangalore,3,27,Male,No,5,0
225,Bachelors,2013,Pune,3,28,Male,No,2,0
229,Bachelors,2013,Pune,3,24,Male,No,2,0
230,Bachelors,2014,Pune,3,24,Male,No,2,0
231,PHD,2015,New Delhi,2,25,Female,No,3,0
232,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
234,Masters,2015,Pune,2,25,Female,No,3,0
235,Bachelors,2015,Bangalore,3,24,Male,No,2,0
236,Bachelors,2014,New Delhi,3,24,Female,No,2,0
238,Bachelors,2012,New Delhi,3,28,Male,No,1,0
239,Masters,2017,Pune,2,26,Female,No,4,0
240,Bachelors,2016,Pune,3,25,Male,No,3,0
244,Bachelors,2014,Bangalore,3,25,Male,No,3,0
247,Bachelors,2015,Bangalore,3,27,Male,No,5,0
248,Bachelors,2016,Pune,3,26,Male,No,4,0
250,Bachelors,2016,Bangalore,1,28,Female,No,2,0
251,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
252,Bachelors,2014,Bangalore,3,27,Male,No,5,0
253,Bachelors,2017,Bangalore,3,28,Male,No,2,0
255,Bachelors,2017,Pune,2,25,Male,No,3,0
257,Masters,2017,New Delhi,2,28,Female,No,1,0
258,Bachelors,2013,New Delhi,1,27,Female,No,5,0
259,Bachelors,2017,New Delhi,2,27,Female,No,5,0
260,Bachelors,2017,Bangalore,3,28,Male,No,1,0
263,Bachelors,2012,Pune,1,26,Male,No,4,0
264,Bachelors,2016,Bangalore,3,26,Male,No,4,0
265,Masters,2016,New Delhi,1,27,Male,No,5,0
266,Bachelors,2015,New Delhi,3,26,Female,No,4,0
267,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
271,Masters,2017,New Delhi,2,28,Female,No,2,0
272,Bachelors,2013,Pune,3,28,Male,No,1,0
273,Masters,2013,New Delhi,3,25,Male,No,3,0
276,Bachelors,2012,Bangalore,3,25,Male,No,3,0
277,Bachelors,2014,Bangalore,3,28,Male,No,1,0
278,Bachelors,2017,New Delhi,3,28,Female,No,3,0
279,Masters,2017,New Delhi,2,28,Male,Yes,2,0
280,Bachelors,2014,Bangalore,3,25,Male,No,3,0
281,Masters,2017,New Delhi,3,26,Male,No,4,0
283,Masters,2013,New Delhi,3,27,Male,No,5,0
284,PHD,2014,Bangalore,3,24,Female,No,2,0
285,Masters,2017,New Delhi,2,27,Female,No,5,0
287,Bachelors,2012,Bangalore,3,26,Male,No,4,0
290,Bachelors,2016,Bangalore,3,24,Male,No,2,0
291,Masters,2017,New Delhi,2,25,Female,No,3,0
292,Bachelors,2017,New Delhi,2,28,Male,No,1,0
293,Bachelors,2012,New Delhi,3,27,Female,No,5,0
296,Bachelors,2014,Pune,3,28,Male,No,2,0
298,Bachelors,2012,Bangalore,3,28,Male,No,3,0
299,Bachelors,2012,Bangalore,3,27,Male,No,5,0
300,Bachelors,2013,Bangalore,3,26,Male,No,4,0
301,Bachelors,2014,New Delhi,3,28,Female,No,1,0
302,Bachelors,2014,New Delhi,3,27,Female,Yes,5,0
305,PHD,2015,New Delhi,3,25,Female,No,3,0
306,Masters,2015,New Delhi,3,25,Male,No,3,0
307,Bachelors,2012,Pune,3,27,Male,No,5,0
308,Masters,2017,New Delhi,2,24,Female,No,2,0
309,Bachelors,2016,Bangalore,3,24,Male,No,2,0
310,Masters,2015,Pune,3,28,Female,No,2,0
311,Bachelors,2017,Bangalore,3,24,Female,No,2,0
312,Bachelors,2017,Pune,3,25,Male,No,3,0
313,Bachelors,2017,Bangalore,1,25,Male,No,3,0
314,Masters,2015,Pune,3,28,Female,No,2,0
315,Bachelors,2017,Pune,3,26,Male,No,4,0
316,Bachelors,2014,Pune,3,24,Male,No,2,0
319,Bachelors,2016,Bangalore,3,27,Male,No,5,0
320,Bachelors,2017,Bangalore,3,28,Female,No,2,0
321,Bachelors,2012,Pune,3,28,Male,No,2,0
323,Bachelors,2013,Bangalore,3,26,Male,No,4,0
324,Bachelors,2015,New Delhi,3,26,Female,Yes,4,0
325,Bachelors,2017,Bangalore,3,28,Male,No,1,0
327,Masters,2017,New Delhi,3,24,Male,No,2,0
329,Bachelors,2017,Bangalore,3,24,Male,No,2,0
332,Bachelors,2015,Bangalore,3,24,Female,No,2,0
333,Bachelors,2016,Pune,3,26,Male,No,4,0
336,Bachelors,2013,Bangalore,3,27,Female,No,5,0
337,Bachelors,2013,Bangalore,3,24,Male,Yes,2,0
338,Bachelors,2013,Bangalore,3,24,Female,No,2,0
339,Bachelors,2013,Bangalore,3,27,Male,No,5,0
340,Bachelors,2017,Bangalore,3,26,Female,No,4,0
341,Bachelors,2015,Bangalore,3,24,Female,No,2,0
344,Bachelors,2012,Bangalore,3,28,Male,No,3,0
345,Bachelors,2017,New Delhi,2,27,Male,No,5,0
347,Masters,2017,Pune,2,27,Male,No,5,0
352,Bachelors,2012,Pune,3,26,Male,No,4,0
353,Bachelors,2017,Bangalore,3,28,Male,No,2,0
354,Bachelors,2012,Bangalore,3,25,Male,No,3,0
355,Bachelors,2017,Bangalore,3,25,Female,Yes,3,0
356,Masters,2017,Pune,2,26,Male,No,4,0
359,Bachelors,2017,New Delhi,2,26,Female,No,4,0
360,Bachelors,2017,New Delhi,2,26,Male,No,4,0
361,Bachelors,2016,Bangalore,3,27,Male,No,5,0
362,Bachelors,2017,New Delhi,3,27,Female,No,5,0
363,Bachelors,2015,New Delhi,3,24,Female,No,2,0
365,Bachelors,2017,New Delhi,1,28,Female,No,2,0
366,Bachelors,2015,Bangalore,3,24,Male,No,2,0
368,Bachelors,2014,Bangalore,3,25,Female,No,3,0
369,Bachelors,2014,Bangalore,3,28,Male,No,2,0
370,Bachelors,2017,Bangalore,3,28,Male,No,3,0
371,Masters,2015,New Delhi,1,27,Male,No,5,0
374,Bachelors,2016,Bangalore,3,28,Female,No,3,0
377,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
378,Bachelors,2014,Bangalore,3,26,Male,No,4,0
379,Bachelors,2014,Bangalore,3,24,Male,No,2,0
380,Bachelors,2016,Bangalore,3,28,Male,No,2,0
382,Bachelors,2013,Pune,3,27,Male,No,5,0
383,Bachelors,2015,Bangalore,3,28,Male,No,3,0
384,Bachelors,2014,Bangalore,3,26,Male,No,4,0
385,Bachelors,2012,Bangalore,3,24,Male,No,2,0
386,Bachelors,2013,Bangalore,3,27,Male,No,5,0
388,Bachelors,2015,Pune,3,28,Male,No,2,0
390,Bachelors,2013,Bangalore,3,24,Male,No,2,0
392,Bachelors,2015,Pune,3,27,Male,No,5,0
393,Bachelors,2014,Pune,2,26,Male,No,4,0
395,PHD,2013,Bangalore,3,25,Male,No,3,0
396,Bachelors,2014,Bangalore,3,25,Male,No,3,0
397,Bachelors,2017,New Delhi,2,28,Female,No,1,0
400,Bachelors,2014,Bangalore,3,27,Male,No,5,0
401,Bachelors,2012,New Delhi,3,24,Female,No,2,0
402,Bachelors,2017,New Delhi,2,24,Male,No,2,0
403,Bachelors,2015,Bangalore,3,26,Male,No,4,0
404,Bachelors,2012,Bangalore,3,26,Female,No,4,0
405,Bachelors,2015,Bangalore,3,24,Male,No,2,0
406,Masters,2014,Pune,3,25,Male,No,3,0
407,Bachelors,2015,Bangalore,3,28,Male,No,2,0
408,Bachelors,2016,Pune,3,24,Male,No,2,0
409,Bachelors,2016,Bangalore,3,26,Female,No,4,0
412,Bachelors,2017,Pune,3,25,Male,No,3,0
415,Bachelors,2012,Pune,3,27,Female,No,5,0
416,Masters,2017,New Delhi,3,28,Male,Yes,2,0
417,Bachelors,2016,Pune,3,25,Male,No,3,0
418,Bachelors,2016,Bangalore,3,24,Male,No,2,0
419,Bachelors,2016,Pune,3,28,Male,No,1,0
420,Bachelors,2013,New Delhi,3,27,Female,Yes,5,0
421,Bachelors,2015,New Delhi,3,26,Male,No,4,0
422,Bachelors,2016,Bangalore,3,27,Male,No,5,0
423,Bachelors,2017,Pune,2,27,Male,No,5,0
424,Bachelors,2012,Bangalore,3,27,Male,No,5,0
426,Bachelors,2014,Pune,3,27,Male,No,5,0
427,Bachelors,2013,Bangalore,3,26,Female,No,4,0
432,PHD,2013,New Delhi,3,27,Male,No,5,0
433,Masters,2014,New Delhi,3,28,Female,No,1,0
434,Bachelors,2017,Pune,3,27,Male,No,5,0
437,Masters,2012,Pune,3,27,Male,No,5,0
438,Bachelors,2017,Bangalore,3,26,Male,No,4,0
440,Bachelors,2017,Bangalore,3,27,Male,No,5,0
442,Bachelors,2016,Pune,3,27,Male,Yes,5,0
443,Bachelors,2014,Pune,3,25,Male,No,3,0
444,Bachelors,2017,Bangalore,3,28,Male,No,1,0
445,Masters,2012,Pune,3,24,Male,No,2,0
446,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
448,Bachelors,2012,Pune,3,27,Male,No,5,0
449,Bachelors,2017,Bangalore,3,26,Male,No,4,0
450,Bachelors,2013,Pune,3,26,Male,No,4,0
451,Bachelors,2016,Bangalore,3,24,Male,No,2,0
452,Bachelors,2014,Bangalore,3,25,Female,No,3,0
453,Bachelors,2015,New Delhi,3,25,Male,No,3,0
454,PHD,2012,Pune,3,24,Male,No,2,0
455,Bachelors,2013,Bangalore,3,27,Male,No,5,0
456,Bachelors,2015,Bangalore,3,25,Male,No,3,0
457,Bachelors,2016,Bangalore,3,26,Male,No,4,0
458,Masters,2015,New Delhi,3,24,Female,No,2,0
459,Bachelors,2012,Bangalore,3,26,Male,No,4,0
460,Bachelors,2013,Pune,3,24,Male,No,2,0
462,Bachelors,2014,Bangalore,1,25,Male,Yes,3,0
464,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
466,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
468,Bachelors,2012,Bangalore,3,25,Male,No,3,0
469,PHD,2013,New Delhi,2,27,Female,No,5,0
472,Bachelors,2014,Pune,3,27,Male,No,5,0
476,Bachelors,2017,New Delhi,2,28,Female,No,3,0
481,Bachelors,2017,Bangalore,3,24,Male,No,2,0
483,Bachelors,2012,Bangalore,3,26,Female,No,4,0
485,Masters,2017,Pune,2,24,Male,No,2,0
487,Bachelors,2015,New Delhi,3,26,Female,Yes,4,0
489,Bachelors,2013,Pune,3,25,Male,No,3,0
490,PHD,2015,New Delhi,2,28,Female,No,1,0
491,Bachelors,2016,Pune,3,24,Male,No,2,0
492,Bachelors,2017,Bangalore,3,24,Female,No,2,0
493,Bachelors,2016,Bangalore,3,27,Male,No,5,0
494,Bachelors,2017,Bangalore,3,25,Female,No,3,0
495,Masters,2014,New Delhi,3,27,Male,No,5,0
